Villages of each kind in district,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
380,417,0.327058824,827,0.648627451,31,0.024313725,1275
381,1062,0.532330827,835,0.418546366,98,0.049122807,1995
382,492,0.296385542,1119,0.674096386,49,0.029518072,1660
383,992,0.872471416,103,0.09058927,42,0.036939314,1137
384,1487,0.852148997,176,0.100859599,82,0.046991404,1745
385,1429,0.900441084,142,0.089477001,16,0.010081916,1587
386,957,0.623046875,426,0.27734375,153,0.099609375,1536
387,478,0.284862932,1147,0.683551847,53,0.031585221,1678
388,2576,0.825905739,318,0.101955755,225,0.072138506,3119
389,1511,0.979896239,2,0.001297017,29,0.018806744,1542
390,2421,0.989779231,5,0.002044154,20,0.008176615,2446
391,1074,0.944591029,53,0.046613896,10,0.008795075,1137
392,819,0.912026726,68,0.075723831,11,0.012249443,898
393,1735,0.947052402,56,0.030567686,41,0.022379913,1832
394,660,0.957910015,7,0.010159652,22,0.031930334,689
395,2101,0.968202765,36,0.016589862,33,0.015207373,2170
396,2479,0.973301924,10,0.003926188,58,0.022771888,2547
397,826,0.906695939,54,0.059275521,31,0.03402854,911
398,1916,0.947108255,25,0.012357884,82,0.040533861,2023
399,1004,0.973811833,9,0.008729389,18,0.017458778,1031
400,647,0.832689833,18,0.023166023,112,0.144144144,777
401,1823,0.916540975,37,0.018602313,129,0.064856712,1989
402,800,0.96969697,4,0.004848485,21,0.025454545,825
403,1511,0.936183395,19,0.011771995,84,0.05204461,1614
404,726,0.861209964,43,0.051008304,74,0.087781732,843
405,1055,0.925438596,20,0.01754386,65,0.057017544,1140
406,1638,0.861198738,103,0.054153523,161,0.084647739,1902
407,972,0.915254237,61,0.057438795,29,0.027306968,1062
408,1662,0.951345163,11,0.006296508,74,0.042358329,1747
409,1890,0.810810811,242,0.103818104,199,0.085371085,2331
410,2177,0.852722288,201,0.078730905,175,0.068546808,2553
411,1150,0.94494659,21,0.017255546,46,0.037797864,1217
412,671,0.905533063,32,0.043184885,38,0.051282051,741
413,1113,0.963636364,1,0.000865801,41,0.035497835,1155
414,1185,0.957962813,,0,52,0.042037187,1237
415,385,0.982142857,2,0.005102041,5,0.012755102,392
416,582,0.898148148,,0,66,0.101851852,648
417,547,0.994545455,,0,3,0.005454545,550
418,326,0.56993007,212,0.370629371,34,0.059440559,572
419,429,0.45686901,395,0.420660277,115,0.122470714,939
420,629,0.573905109,393,0.358576642,74,0.067518248,1096
421,303,0.38697318,362,0.462324393,118,0.150702427,783
422,348,0.50728863,276,0.402332362,62,0.090379009,686
423,1079,0.749305556,265,0.184027778,96,0.066666667,1440
424,940,0.856102004,87,0.079234973,71,0.064663024,1098
425,1168,0.858192506,80,0.058780309,113,0.083027186,1361
426,855,0.809659091,151,0.142992424,50,0.047348485,1056
427,1842,0.858741259,165,0.076923077,138,0.064335664,2145
428,1135,0.877125193,108,0.083462133,51,0.039412674,1294
429,1532,0.762189055,354,0.176119403,124,0.061691542,2010
430,1373,0.521458412,1170,0.444360046,90,0.034181542,2633
431,620,0.93373494,3,0.004518072,41,0.061746988,664
432,639,0.755319149,82,0.096926714,125,0.147754137,846
433,799,0.73572744,143,0.131675875,144,0.132596685,1086
434,926,0.738437002,182,0.145135566,146,0.116427432,1254
435,940,0.720858896,185,0.141871166,179,0.137269939,1304
436,1147,0.89052795,34,0.026397516,107,0.083074534,1288
437,1011,0.781902552,145,0.112142305,137,0.105955143,1293
438,1009,0.597748815,474,0.280805687,205,0.121445498,1688
439,303,0.353146853,254,0.296037296,301,0.350815851,858
440,518,0.385703649,684,0.50930752,141,0.104988831,1343
441,480,0.583232078,234,0.284325638,109,0.132442284,823
442,1407,0.742480211,366,0.193139842,122,0.064379947,1895
443,1003,0.599880383,569,0.340311005,100,0.059808612,1672
444,464,0.763157895,32,0.052631579,112,0.184210526,608
445,1022,0.862447257,60,0.050632911,103,0.086919831,1185
446,1377,0.854748603,120,0.074487896,114,0.070763501,1611
447,1328,0.876567657,54,0.035643564,133,0.087788779,1515
448,497,0.86135182,7,0.012131716,73,0.126516464,577
449,864,0.800741427,71,0.065801668,144,0.133456905,1079
450,926,0.930653266,4,0.004020101,65,0.065326633,995
451,1433,0.881846154,22,0.013538462,170,0.104615385,1625
452,991,0.858752166,75,0.064991334,88,0.076256499,1154
453,909,0.972192513,9,0.009625668,17,0.018181818,935
454,1237,0.950076805,3,0.002304147,62,0.047619048,1302
455,1940,0.873087309,42,0.01890189,240,0.108010801,2222
456,1529,0.931181486,56,0.03410475,57,0.034713764,1642
457,1346,0.95325779,1,0.000708215,65,0.046033994,1412
458,1134,0.824127907,159,0.115552326,83,0.060319767,1376
459,514,0.572383073,335,0.373051225,49,0.054565702,898
460,847,0.896296296,12,0.012698413,86,0.091005291,945
461,596,0.877761414,5,0.00736377,78,0.114874816,679
462,1004,0.92194674,56,0.051423324,29,0.026629936,1089
463,691,0.891612903,51,0.065806452,33,0.042580645,775
464,549,0.644366197,234,0.274647887,69,0.080985915,852
465,530,0.89678511,12,0.020304569,49,0.082910321,591
466,594,0.719128329,144,0.17433414,88,0.10653753,826
467,208,0.592592593,61,0.173789174,82,0.233618234,351
468,783,0.816475495,33,0.034410845,143,0.14911366,959
469,1145,0.876052028,79,0.060443764,83,0.063504208,1307
470,439,0.77699115,29,0.051327434,97,0.171681416,565
471,326,0.482248521,53,0.078402367,297,0.439349112,676
472,901,0.61670089,280,0.191649555,280,0.191649555,1461
473,163,0.441734417,22,0.059620596,184,0.498644986,369
474,423,0.631343284,86,0.128358209,161,0.240298507,670
475,487,0.665300546,139,0.18989071,106,0.144808743,732
476,274,0.275376884,493,0.495477387,228,0.229145729,995
477,414,0.511742892,279,0.34487021,116,0.143386897,809
478,159,0.694323144,28,0.122270742,42,0.183406114,229
