Count of Villages in Different Districts,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
305,367,25%,846,57%,278,19%,1491
306,831,45%,660,35%,376,20%,1867
307,566,48%,447,38%,172,15%,1185
308,821,64%,317,25%,137,11%,1275
309,197,16%,695,57%,317,26%,1209
310,250,18%,828,60%,294,21%,1372
311,171,18%,520,56%,236,25%,927
312,327,39%,331,40%,177,21%,835
313,283,26%,633,59%,155,14%,1071
314,1522,55%,837,30%,409,15%,2768
315,346,49%,166,23%,196,28%,708
316,259,24%,620,58%,195,18%,1074
317,133,14%,658,69%,167,17%,958
318,39,11%,264,73%,57,16%,360
319,291,51%,203,35%,80,14%,574
320,440,86%,32,6%,40,8%,512
321,472,43%,431,40%,185,17%,1088
322,70,24%,98,33%,128,43%,296
323,134,27%,250,51%,107,22%,491
324,455,67%,154,23%,75,11%,684
325,284,50%,211,37%,78,14%,573
326,510,63%,203,25%,92,11%,805
327,319,40%,92,12%,378,48%,789
328,542,61%,175,20%,165,19%,882
329,467,38%,571,46%,201,16%,1239
330,1366,88%,112,7%,83,5%,1561
331,1384,85%,131,8%,120,7%,1635
332,1468,86%,163,10%,84,5%,1715
333,1600,75%,351,16%,196,9%,2147
334,2192,92%,17,1%,176,7%,2385
335,1419,49%,870,30%,609,21%,2898
336,179,12%,1117,73%,239,16%,1535
337,86,4%,1531,64%,790,33%,2407
338,491,22%,1385,61%,400,18%,2276
339,3424,93%,106,3%,135,4%,3665
340,2476,97%,2,0%,82,3%,2560
341,155,15%,705,68%,171,17%,1031
342,,0%,,0%,142,100%,142
343,749,31%,1438,60%,195,8%,2382
344,4970,66%,1734,23%,798,11%,7502
345,143,5%,1403,45%,1543,50%,3089
346,848,97%,4,0%,23,3%,875
347,1351,97%,8,1%,39,3%,1398
348,582,95%,,0%,29,5%,611
349,2547,98%,8,0%,55,2%,2610
350,2323,96%,11,0%,78,3%,2412
351,1657,97%,4,0%,52,3%,1713
352,1345,96%,5,0%,54,4%,1404
353,1119,96%,15,1%,32,3%,1166
354,1071,87%,1,0%,165,13%,1237
355,626,87%,1,0%,94,13%,721
356,351,94%,,0%,24,6%,375
357,1522,78%,58,3%,369,19%,1949
358,1693,96%,3,0%,68,4%,1764
359,732,96%,13,2%,21,3%,766
360,1178,93%,,0%,83,7%,1261
361,307,86%,,0%,51,14%,358
362,2617,97%,35,1%,58,2%,2710
363,1072,96%,8,1%,35,3%,1115
364,1255,90%,13,1%,123,9%,1391
365,754,98%,1,0%,17,2%,772
366,938,97%,3,0%,26,3%,967
367,456,97%,,0%,12,3%,468
368,1635,96%,8,0%,69,4%,1712
369,1134,95%,6,1%,59,5%,1199
370,1144,93%,26,2%,63,5%,1233
371,361,86%,1,0%,56,13%,418
372,1249,94%,8,1%,72,5%,1329
373,715,98%,,0%,16,2%,731
374,1719,93%,4,0%,126,7%,1849
