District_name,District_code,State_code,State_name,ASSET_2001,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011,ASSET_Actual_2001,Formal_EMP_2001,LIT_2001,ASSET_change
Sitapur,154,9,UTTAR PRADESH,2,2,2,1,1,1,1,1,1,0
Hardoi,155,9,UTTAR PRADESH,1,1,1,1,2,1,1,1,1,0
Unnao,156,9,UTTAR PRADESH,3,2,1,1,2,1,1,1,1,0
Lucknow,157,9,UTTAR PRADESH,3,3,3,1,1,3,2,3,2,1
Rae Bareli,158,9,UTTAR PRADESH,3,1,1,2,2,1,1,1,1,0
Farrukhabad,159,9,UTTAR PRADESH,3,1,2,3,3,2,1,1,1,1
Kannauj,160,9,UTTAR PRADESH,3,2,2,2,3,2,1,1,1,0
Etawah,161,9,UTTAR PRADESH,3,1,3,2,3,2,1,1,2,1
Auraiya,162,9,UTTAR PRADESH,3,3,3,3,3,2,1,1,2,0
Kanpur Dehat,163,9,UTTAR PRADESH,3,1,2,2,3,1,1,1,1,0
Kanpur Nagar,164,9,UTTAR PRADESH,3,1,1,2,1,1,2,3,2,0
Jalaun ,165,9,UTTAR PRADESH,2,1,2,2,2,2,1,1,1,1
Jhansi,166,9,UTTAR PRADESH,1,1,2,2,2,2,1,2,1,1
Lalitpur,167,9,UTTAR PRADESH,1,1,2,2,2,1,1,1,1,0
Hamirpur,168,9,UTTAR PRADESH,2,2,1,2,2,1,1,1,1,0
Mahoba,169,9,UTTAR PRADESH,2,3,1,2,3,2,1,1,1,1
Banda,170,9,UTTAR PRADESH,1,1,1,1,2,1,1,1,1,0
Chitrakoot,171,9,UTTAR PRADESH,1,3,1,2,3,1,1,1,1,0
Fatehpur,172,9,UTTAR PRADESH,3,2,1,2,3,1,1,1,1,0
Pratapgarh,173,9,UTTAR PRADESH,3,3,3,2,3,2,1,1,1,1
Kaushambi,174,9,UTTAR PRADESH,3,3,3,3,3,1,1,1,1,0
Allahabad ,175,9,UTTAR PRADESH,2,1,1,1,3,2,1,2,1,1
Barabanki,176,9,UTTAR PRADESH,3,2,1,1,2,1,1,1,1,0
Faizabad,177,9,UTTAR PRADESH,3,3,2,1,3,2,1,1,1,1
Ambedkar Nagar,178,9,UTTAR PRADESH,3,3,1,3,3,2,1,1,1,0
Sultanpur,179,9,UTTAR PRADESH,3,3,1,3,3,2,1,1,1,1
Bahraich,180,9,UTTAR PRADESH,1,1,1,1,1,1,1,1,1,0
Shrawasti,181,9,UTTAR PRADESH,1,3,1,1,3,1,1,1,1,0
Balrampur,182,9,UTTAR PRADESH,1,3,1,1,1,1,1,1,1,0
Gonda,183,9,UTTAR PRADESH,2,3,1,1,3,1,1,1,1,0
Siddharthnagar,184,9,UTTAR PRADESH,2,3,1,3,3,2,1,1,1,0
Basti,185,9,UTTAR PRADESH,3,3,1,3,3,2,1,1,1,1
Sant Kabir Nagar,186,9,UTTAR PRADESH,3,3,3,3,3,2,1,1,1,1
Mahrajganj,187,9,UTTAR PRADESH,3,1,3,3,1,1,1,1,1,0
Gorakhpur,188,9,UTTAR PRADESH,3,2,2,3,3,2,1,1,1,1
Kushinagar,189,9,UTTAR PRADESH,1,1,3,1,1,1,1,1,1,0
Deoria,190,9,UTTAR PRADESH,3,2,1,3,3,1,1,1,1,1
Azamgarh,191,9,UTTAR PRADESH,2,2,1,3,1,2,1,1,1,1
Mau,192,9,UTTAR PRADESH,3,2,1,3,3,1,1,1,1,1
Ballia,193,9,UTTAR PRADESH,1,1,1,1,3,1,1,1,1,1
Jaunpur,194,9,UTTAR PRADESH,2,2,2,2,3,2,1,1,1,1
Ghazipur,195,9,UTTAR PRADESH,2,1,2,1,3,2,1,1,1,1
Chandauli,196,9,UTTAR PRADESH,3,1,1,1,1,2,1,1,1,1
Varanasi,197,9,UTTAR PRADESH,3,3,1,3,3,2,2,2,1,0
Sant Ravidas Nagar Bhadohi,198,9,UTTAR PRADESH,3,3,3,3,3,3,1,1,1,1
Mirzapur,199,9,UTTAR PRADESH,1,1,1,2,3,2,1,1,1,1
Sonbhadra,200,9,UTTAR PRADESH,2,1,1,1,2,1,1,1,1,0
Etah,201,9,UTTAR PRADESH,3,1,2,2,3,2,1,1,1,1
Pashchim Champaran,203,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Purba Champaran,204,10,BIHAR,1,1,1,1,2,1,1,1,1,0
Sheohar,205,10,BIHAR,3,3,3,3,3,3,1,1,1,0
Sitamarhi,206,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Madhubani,207,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Supaul,208,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Araria,209,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Kishanganj,210,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Purnia,211,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Katihar,212,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Madhepura,213,10,BIHAR,1,3,1,1,1,1,1,1,1,0
Saharsa,214,10,BIHAR,3,3,1,1,1,1,1,1,1,0
Darbhanga,215,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Muzaffarpur,216,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Gopalganj,217,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Siwan,218,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Saran,219,10,BIHAR,1,1,3,1,3,1,1,1,1,0
Vaishali,220,10,BIHAR,1,3,3,1,3,1,1,1,1,0
