census_code,CHH_2001,CHH_change,F_EMP_2001,ASSET_2001,EMP_2001
557,2,0,2,1,1
558,2,0,2,1,1
559,1,1,3,1,2
560,1,1,3,1,2
561,2,0,3,1,2
562,1,1,2,2,1
563,1,1,2,1,3
564,2,0,2,1,2
565,1,1,3,1,2
566,1,1,3,1,2
567,1,1,2,1,2
568,2,0,2,2,2
569,1,1,3,2,3
570,1,1,2,1,1
571,2,0,3,1,2
572,1,1,1,3,3
573,1,1,2,1,2
574,2,0,3,1,2
575,1,1,3,2,3
576,1,1,3,1,3
577,1,1,2,1,1
578,3,0,2,1,2
579,1,1,3,1,2
581,3,0,3,1,2
583,1,1,2,1,2
585,3,0,2,3,3
586,2,1,1,3,3
587,2,1,1,2,3
588,2,1,2,1,3
589,3,0,1,1,3
590,2,0,2,1,1
591,2,1,1,1,3
592,2,1,1,1,3
593,3,0,2,1,3
594,2,1,1,2,3
595,2,1,1,2,3
596,3,0,2,1,1
597,3,0,1,2,3
598,2,1,1,2,3
599,2,1,1,2,3
600,3,0,1,1,3
601,3,0,1,2,3
602,3,0,1,2,3
603,3,0,1,3,3
604,3,0,2,2,3
605,3,0,2,1,3
606,3,0,3,1,2
607,3,0,3,1,2
608,3,0,2,1,2
609,3,0,3,1,2
610,3,0,3,1,2
611,3,0,3,1,3
612,3,0,3,1,2
613,3,0,3,1,2
614,3,0,2,2,1
615,3,0,3,1,2
616,3,0,3,1,2
617,3,0,2,1,1
618,3,0,2,1,1
619,3,0,2,1,2
620,3,0,2,1,1
621,3,0,3,1,2
622,3,0,2,1,2
623,3,0,2,2,3
624,3,0,3,1,2
625,3,0,3,1,3
626,3,0,2,1,2
627,3,0,2,1,3
628,3,0,3,1,3
629,3,0,1,1,3
630,3,0,3,1,2
632,3,0,2,2,3
634,3,0,1,2,3
635,3,0,1,2,3
636,2,1,1,2,3
637,1,1,1,2,3
638,1,1,2,1,3
639,2,1,1,2,3
