,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
21,21,25,1083,1455,933,1116,1390,2231,921,397,22,114,1627,1214,694,629,1361,2339,1343,251,1,72,1503,1373,1161,1104,1631,1689,786,254,0,1462,1207,575,566,667,857,1207,1827,992,213,180,1204,1756,1725,1831,1258,887,585,145,2,756,4101,848,1411,973,916,420,134,14,0,763,3904,1315,1079,1114,683,542,159,14,0,42,605,1497,1817,1631,1483,1209,933,346,10,1257,1177,697,634,660,700,1147,2753,548,0,65,420,477,699,1090,1605,2055,2207,928,27,189,1289,1689,1912,1762,1327,882,423,95,5,15,208,505,732,980,1152,1606,2145,1809,421
22,22,16,475,658,593,372,987,1053,353,149,20,135,839,645,422,255,504,1041,633,197,5,85,904,640,421,342,610,903,551,216,4,501,688,485,363,391,471,784,711,272,10,97,432,527,537,576,879,889,616,120,3,15,950,253,768,696,856,723,346,67,2,17,929,363,657,745,650,865,386,63,1,38,412,562,539,548,634,782,795,354,12,542,666,408,360,273,336,731,1229,127,4,0,127,244,478,730,892,889,882,422,12,2,136,585,915,982,909,686,356,93,12,0,49,258,650,1004,1128,980,487,105,15
23,23,10465,4377,1874,948,500,410,313,297,457,11218,8950,4219,2045,1247,798,794,653,610,999,10544,6912,4746,2301,1529,1104,1066,983,949,1535,9734,10246,2242,1396,1269,1075,1185,1232,1392,1511,9311,17296,3875,2055,1520,1549,1353,1198,1003,700,310,24182,4851,843,529,169,102,81,49,24,29,24243,4657,1079,424,170,98,86,51,27,24,12030,5598,3639,2378,1868,1665,1411,1284,811,175,10267,2412,1316,1219,941,1106,971,1281,1725,9621,9992,2233,1468,1669,1777,2111,2433,3211,3927,2038,14855,4049,2766,2312,1946,1575,1224,902,575,655,2156,1651,1448,1305,1107,1292,1271,1462,2054,17113
24,24,3341,7093,6018,2764,1146,922,1002,479,290,4040,2906,9546,5081,1865,997,760,878,754,386,3922,3105,9971,4608,1764,1043,942,900,519,464,3779,2475,3687,3993,3761,3354,2982,1940,753,560,3590,5396,5039,4952,4624,2523,2130,1427,712,266,26,6534,4145,4124,7232,2536,1511,722,274,17,0,6571,3562,6731,5090,2737,1220,860,310,14,0,4456,6109,5435,4007,2480,1699,1340,1044,496,29,3837,5596,4876,3674,1859,1553,984,528,401,3787,4278,748,503,704,814,1175,2317,5580,8506,2470,4909,3979,5693,5075,3661,2008,1054,496,166,54,553,758,1532,2846,3967,4278,3754,2807,1224,5376
25,25,237,567,656,487,497,560,747,827,1702,59504,117,288,283,276,388,419,613,1039,3302,59059,89,266,318,344,426,468,696,1333,5064,56780,4214,2059,1359,1219,1220,1225,1413,1763,2271,49041,44286,8171,3543,2385,1978,1723,1457,1181,863,197,61277,3741,319,211,85,73,49,23,6,0,61333,3623,445,146,88,64,56,24,5,0,21319,14524,8036,5247,3806,3344,2859,2966,2745,938,1086,582,460,514,532,782,936,1672,4146,55074,54401,9408,745,386,259,194,175,143,70,3,54400,2595,1731,1532,1487,1316,1140,825,477,281,4,11,26,58,117,204,383,842,1976,62163
26,26,11191,1970,646,252,152,113,120,129,223,11257,9278,2784,1137,561,362,226,188,167,402,10948,7500,3181,1521,881,708,441,319,291,613,10598,7665,1884,1193,918,827,897,914,873,727,10155,14724,3244,1618,1348,1086,1013,1074,1086,739,121,20392,4286,625,350,229,93,66,12,0,0,20425,4214,645,355,229,112,57,16,0,0,9639,5206,3028,1979,1457,1388,1272,1268,750,66,9281,1702,1037,758,597,499,507,389,595,10688,9497,1635,399,413,538,817,1339,2281,5041,4093,13495,3298,2042,1558,1437,1343,1235,922,466,257,3524,1614,1172,919,855,831,995,1120,1645,13378
27,27,11185,5942,1044,253,101,53,32,5,4,12,8127,6951,2093,735,385,194,90,38,8,10,5286,6633,3452,1548,809,471,268,138,19,7,6713,3985,2364,1660,1338,1143,829,465,119,15,3848,3546,2795,2543,1996,1624,1171,743,349,16,2872,9645,3155,1464,742,362,326,64,1,0,2951,9519,3199,1437,765,389,306,64,1,0,2563,3353,3392,2845,2256,1723,1269,863,360,7,9570,4042,2119,1213,738,473,309,129,29,9,10,54,131,367,853,1567,2861,4851,5661,2276,732,2521,2634,3305,3477,2774,1850,942,336,60,2216,2920,2907,2666,2315,1872,1383,1054,879,419
28,28,172,3165,1319,331,140,83,53,31,5,2,518,2966,1064,325,211,86,73,43,15,0,488,2793,1174,395,206,112,96,24,13,0,662,1330,1187,1062,703,294,57,6,0,0,343,1330,1431,1135,611,300,116,35,0,0,13,1473,1987,1545,223,49,11,0,0,0,14,1033,2986,976,233,48,11,0,0,0,297,1286,1440,1000,660,341,182,80,15,0,1275,1778,1236,658,206,96,35,16,1,0,3,43,51,94,165,306,633,1552,2244,210,89,680,1402,1382,927,501,232,81,7,0,26,169,454,626,778,901,1020,836,421,70
29,29,2,1362,2045,900,779,702,885,436,131,11,22,2354,1559,754,605,388,737,659,175,0,265,2833,1294,495,425,584,680,564,113,0,345,1154,1224,944,1089,1204,1008,241,40,4,260,1322,1328,1145,821,932,897,509,39,0,0,178,675,3018,1338,1212,612,207,13,0,0,129,1147,2545,1447,977,768,230,10,0,450,1627,1246,838,624,577,657,869,365,0,405,1581,1324,859,660,1087,905,388,44,0,119,85,339,530,646,672,867,1550,2201,244,116,882,1524,1333,1250,1166,674,275,30,3,1,43,254,721,1247,1591,1616,1178,406,196
30,30,144,2125,1614,774,399,250,114,54,12,4,294,1875,1509,822,496,253,134,81,24,2,290,1312,1627,1078,590,319,169,76,27,2,1097,1146,1017,874,715,389,183,63,6,0,521,812,888,1001,952,772,410,118,16,0,30,690,658,1162,1387,903,558,81,20,1,30,646,778,1052,1413,947,521,82,20,1,359,591,796,918,1017,886,581,285,57,0,1215,1381,1205,842,444,230,105,56,12,0,293,128,171,261,531,935,1229,1184,619,139,178,373,645,868,1346,1246,628,171,33,2,79,172,473,1003,1180,840,589,428,246,480
