,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
20,20,4000,3261,924,517,296,250,119,131,116,1341,2429,2788,1669,852,631,519,299,258,248,1262,1190,2926,1859,1140,931,653,465,336,287,1168,3331,1457,923,968,657,733,730,701,314,1141,3124,1976,1502,1160,1026,807,721,512,122,5,2439,3133,951,1100,544,544,399,470,484,891,2511,2801,1534,760,618,426,453,497,471,884,1919,1526,2017,1283,1322,927,1009,696,249,7,3188,1657,1090,802,703,693,564,738,335,1185,1254,487,496,564,868,1230,1831,2209,1652,364,1878,1026,1547,1894,1670,1331,882,463,137,127,240,762,1221,1299,1256,1156,1019,838,706,2458
21,21,528,2302,970,852,617,852,702,2058,672,20,495,1338,1431,713,694,924,1445,1799,725,9,708,2017,885,664,813,1187,1513,1208,574,4,851,675,491,644,690,959,1475,1612,849,1327,480,1797,1132,934,1145,1568,1453,879,180,5,67,1773,1555,1095,311,291,871,603,601,2399,123,1279,2346,791,340,250,860,625,595,2357,409,1522,1286,698,840,1051,1570,1581,591,25,702,423,464,570,720,851,1487,3068,1287,1,185,407,622,951,1249,1410,1103,908,1008,1730,1712,916,695,1247,1630,1498,1146,565,117,47,101,172,553,914,1184,1445,1770,1539,1002,893
22,22,0,247,792,636,453,519,800,1054,161,14,1,360,686,549,522,745,1028,626,151,8,5,523,596,590,638,765,919,514,126,0,25,352,437,565,673,908,1161,528,27,0,3,67,263,501,846,1239,1201,480,76,0,0,0,7,161,281,350,1170,1488,625,594,0,0,8,139,265,379,1178,1483,641,583,1,74,326,465,652,740,1056,1036,318,8,20,292,643,553,591,715,788,909,164,1,6,88,238,522,847,991,828,632,506,18,1,49,290,727,1270,1283,694,298,58,6,0,54,268,710,1225,1313,854,227,22,3
23,23,12286,4907,1114,465,360,307,334,331,584,10087,7675,5728,2726,1547,905,512,475,534,1051,9659,5687,5550,3460,1960,1294,789,662,809,1445,9192,7022,3508,2228,1851,1832,1680,1784,1651,1351,7950,13561,4867,3117,2371,1989,1878,1602,1025,404,45,15896,5984,1345,1284,871,666,956,1030,1315,1512,15979,5662,1670,1141,878,686,967,997,1364,1515,8319,6025,4321,3270,2581,2229,1852,1460,723,78,8612,3592,2216,1715,1360,1272,997,866,1155,8928,9037,2410,1078,831,894,1352,2449,4142,5555,3100,11724,4339,3650,3449,3005,2075,1250,708,377,280,1514,2329,2413,2281,2062,2012,1804,1664,1646,13087
24,24,3040,9082,5125,1269,1028,889,796,290,174,690,2484,10771,4316,1664,746,701,592,362,278,621,3262,11466,3577,1188,1016,602,402,283,307,590,3334,5442,4752,2857,2971,1432,819,336,288,622,2508,5361,6778,4595,1950,1033,537,259,179,116,3226,4712,2508,6264,3470,2427,613,232,48,1,3248,3990,4389,4800,3903,1974,883,271,42,1,1665,4818,8056,4068,1836,1083,743,456,299,113,5952,7190,4694,1948,836,446,234,211,254,501,1255,465,439,517,632,911,1746,5594,9731,1403,1235,2782,6220,6229,3652,1500,724,308,87,114,283,397,860,1848,3476,5078,5156,2730,1070,1637
25,25,552,624,542,470,506,620,845,1141,2443,55427,453,554,378,324,381,488,578,1010,3985,54938,235,523,447,367,425,463,681,1302,5809,52752,6200,2052,1384,1067,1156,1216,1606,2052,2820,43380,34951,9702,4524,3185,2559,2289,1967,1748,1340,457,60977,1429,85,40,15,3,0,0,0,0,60997,1405,99,34,19,3,0,0,0,0,13225,12009,9129,5949,4862,4321,3984,4133,3696,1507,2284,791,574,515,545,630,860,1402,4814,50819,56114,5827,456,207,113,72,53,29,30,32,48509,3766,2155,1830,1646,1542,1236,978,624,433,15,24,61,111,159,264,395,782,1740,59169
26,26,1262,533,272,96,93,74,44,32,46,4550,880,538,256,168,144,112,102,63,98,4282,619,466,281,189,148,163,117,146,211,3994,876,218,165,164,183,167,211,220,219,3634,3130,563,285,191,188,168,179,199,160,66,4000,411,44,49,23,9,14,23,21,47,4079,383,74,31,18,8,11,18,18,35,1818,1051,745,384,341,263,266,314,260,41,773,317,242,204,186,199,210,242,256,4624,4046,224,97,93,166,224,307,367,345,187,3946,165,96,105,135,159,165,180,101,76,369,218,157,96,53,62,45,48,79,4002
27,27,116,63,13,6,0,0,1,1,0,0,136,111,26,5,2,1,0,1,0,0,151,188,33,13,4,1,1,1,0,0,251,119,75,35,15,4,2,2,1,0,169,319,207,96,37,22,0,1,0,0,89,704,155,48,3,0,0,0,0,0,87,631,246,30,5,0,0,0,0,0,103,268,199,94,25,24,2,1,1,0,98,34,1,0,0,0,0,0,0,0,0,2,1,6,7,17,34,89,163,72,5,49,84,94,99,71,43,10,7,42,37,25,27,43,51,43,33,14,8,1
28,28,529,2714,565,105,77,42,21,9,0,1,415,2814,641,178,67,36,23,16,1,0,411,3066,583,143,58,26,21,6,1,0,1063,1509,1125,483,225,24,4,0,0,0,457,1632,1645,828,181,43,6,1,0,0,25,888,1588,2040,292,70,7,0,0,0,26,667,2437,1380,331,56,13,0,0,0,229,1466,1965,760,183,44,16,4,0,0,1726,1544,556,80,21,4,3,1,0,0,4,33,22,36,55,140,405,1553,1916,151,52,651,1364,1100,631,384,157,53,13,28,82,75,166,293,437,879,1035,733,427,64
29,29,80,2237,1969,702,868,850,405,128,14,0,64,2783,1454,1037,665,506,510,210,24,0,167,3019,1451,713,751,609,423,111,9,0,987,2047,1443,1103,1246,361,66,0,0,0,253,1239,1840,1591,1055,806,431,37,1,0,0,283,199,1209,1787,2630,959,176,10,0,0,235,391,956,1976,2107,1348,231,9,0,182,1105,2323,1209,837,741,593,249,14,0,1736,1999,1039,718,859,645,218,37,2,0,125,31,198,471,688,926,1336,2096,1356,26,89,251,1015,2089,1921,1261,501,109,16,1,0,6,85,489,1341,2020,1938,925,265,184
30,30,59,229,238,119,83,24,2,0,0,0,100,379,191,93,44,15,4,0,1,0,221,433,149,65,18,7,4,1,0,0,323,300,193,94,47,11,0,0,1,0,294,271,283,172,89,48,1,0,0,0,38,343,116,271,134,257,89,1,0,0,40,323,171,221,152,201,137,4,0,0,247,268,291,141,87,37,9,0,1,0,324,206,118,40,7,4,0,0,0,0,136,9,10,16,20,66,102,224,264,51,111,77,186,249,169,106,38,5,7,21,17,9,23,51,94,183,186,75,28,161
31,31,4801,920,434,379,205,77,44,10,1,0,4262,1422,347,347,272,156,53,11,1,0,3850,1790,366,294,263,214,89,4,0,0,441,932,880,813,929,1011,902,564,302,96,866,2365,1673,947,653,284,73,7,0,0,89,3364,1656,1036,539,129,34,4,0,0,86,3199,1831,1010,533,154,35,3,0,0,1018,2869,1362,564,393,348,237,75,2,0,2311,1550,998,714,627,478,173,27,1,0,0,3,16,49,134,204,330,425,1701,4008,525,2946,1661,1083,520,123,9,1,0,0,340,747,970,1055,1092,1142,901,465,142,14
