census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
549,1,1,1,1,1
40,3,3,3,3,3
167,1,1,1,1,1
243,1,1,1,1,1
32,1,1,1,1,1
226,2,2,2,2,1
489,1,1,1,1,3
380,2,2,2,1,2
417,1,1,1,1,1
126,1,1,1,1,1
95,3,3,3,3,3
330,2,1,1,2,1
77,2,3,3,3,2
333,2,1,1,2,1
151,1,2,1,1,1
18,1,1,1,1,1
382,2,1,1,1,1
595,3,3,1,1,1
193,2,3,2,2,2
520,3,1,1,1,1
174,1,2,2,2,2
323,1,2,1,1,1
173,1,1,2,2,2
204,2,3,3,2,2
354,2,2,2,2,1
140,3,2,3,3,3
584,1,1,1,1,1
25,1,1,1,1,1
562,1,1,1,1,1
61,1,1,1,1,1
10,3,1,1,1,1
240,2,2,2,2,2
402,1,1,1,1,1
13,1,1,1,1,1
84,2,1,1,1,1
42,3,3,2,3,1
149,2,2,2,1,2
500,1,1,1,1,1
78,2,2,2,3,3
255,1,1,1,3,1
184,2,3,2,2,2
558,1,1,1,1,1
397,1,1,1,1,1
4,1,3,1,1,1
41,3,3,2,3,3
435,1,1,1,3,3
265,3,3,3,3,3
294,1,1,1,1,1
401,1,1,1,1,1
473,3,3,3,3,3
533,1,1,1,1,1
125,1,1,1,1,1
96,3,3,3,3,3
28,1,3,3,3,3
14,1,1,1,1,1
271,1,1,1,1,1
587,1,1,1,1,1
570,1,1,1,1,1
304,1,1,1,1,1
254,1,1,1,1,1
115,1,1,1,1,2
443,1,1,1,1,1
551,1,1,1,1,1
298,1,1,1,1,1
564,1,1,1,1,1
146,3,2,2,1,2
351,2,1,1,2,1
98,3,3,3,3,3
138,3,1,3,1,1
605,3,1,1,1,1
364,1,1,1,1,1
322,3,3,3,3,3
439,3,3,3,3,3
117,1,1,1,1,1
175,2,1,1,2,2
160,2,2,2,2,2
2,1,1,1,1,1
332,2,1,1,2,1
517,3,3,3,1,3
504,1,1,1,1,1
279,1,1,1,1,1
345,2,2,1,1,1
