Unnamed: 0,Unnamed: 0_x,STATE_x,NAME_x,District,EMP_2011_x,EMP_2001_x,MSW_2011_x,MSW_2001_x,BF_2011_x,BF_2001_x,MSL_2011_x,MSL_2001_x,FC_2011_x,FC_2001_x,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,Unnamed: 0.1,Unnamed: 0_x.1,district_id_x,BF_2001_y,BF_2003,BF_2005,BF_2007,BF_2009,BF_2011_y,Unnamed: 0_y,EMP_2001_y,EMP_2003,EMP_2005,EMP_2007,EMP_2009,EMP_2011_y,Unnamed: 0_x.1.1,FC_2001_y,FC_2003,FC_2005,FC_2007,FC_2009,FC_2011_y,Unnamed: 0_y.1,MSL_2001_y,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011_y,Unnamed: 0.1.1,MSW_2001_y,MSW_2003,MSW_2005,MSW_2007,MSW_2009,MSW_2011_y,STATE_y,Name,NAME_y,ASSET_2011_x,ASSET_2001_x,Unnamed: 0_y.1.1,district_id_y,ASSET_2001_y,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011_y
201,201,10,Gopalganj,217,1,1,2,2,1,1,1,1,2,2,1,1,1,1,216,216,217,1,1,1,1,1,1,216,1,1,1,1,1,1,216,2,2,3,1,3,2,216,1,2,1,1,2,1,216,2,2,2,2,3,2,10,BIHAR,Gopalganj,1,1,216,217,1,1,1,1,3,1
202,202,10,Siwan,218,1,1,2,2,1,1,1,1,2,2,2,2,1,1,217,217,218,1,1,1,1,1,1,217,1,3,1,1,1,1,217,2,1,3,3,3,2,217,1,1,1,1,1,1,217,2,2,2,2,3,2,10,BIHAR,Siwan,1,1,217,218,1,1,1,1,3,1
203,203,10,Saran,219,1,1,2,2,1,1,1,1,2,2,1,2,1,2,218,218,219,2,1,1,1,3,1,218,1,1,1,1,1,1,218,2,1,3,1,3,2,218,1,2,2,1,3,1,218,2,3,2,2,3,2,10,BIHAR,Saran,1,1,218,219,1,1,3,1,3,1
204,204,10,Vaishali,220,1,1,2,2,1,1,1,1,2,2,1,1,1,2,219,219,220,2,1,1,1,3,1,219,1,1,1,1,1,1,219,1,1,3,3,1,2,219,1,2,3,3,2,1,219,3,3,3,2,3,2,10,BIHAR,Vaishali,1,1,219,220,1,3,3,1,3,1
205,205,10,Samastipur,221,1,1,2,2,1,1,1,1,2,2,1,1,1,2,220,220,221,1,1,1,2,1,1,220,1,1,3,1,1,1,220,1,3,3,3,3,2,220,3,2,1,3,2,1,220,3,3,2,2,2,2,10,BIHAR,Samastipur,1,1,220,221,3,1,1,1,3,1
206,206,10,Begusarai,222,1,1,2,2,1,1,1,1,2,2,1,1,1,2,221,221,222,2,2,1,2,2,1,221,3,1,1,1,1,1,221,3,1,2,1,1,2,221,3,2,1,3,3,1,221,3,3,1,3,3,2,10,BIHAR,Begusarai,1,1,221,222,3,3,1,1,3,1
207,207,10,Khagaria,223,1,1,2,2,1,1,1,1,2,2,1,1,2,2,222,222,223,3,2,1,2,3,1,222,1,1,3,1,1,1,222,3,1,3,1,1,2,222,3,3,1,3,2,1,222,3,3,2,3,3,2,10,BIHAR,Khagaria,1,1,222,223,3,3,1,1,3,1
208,208,10,Bhagalpur,224,1,1,2,2,1,1,1,1,2,2,1,1,2,2,223,223,224,2,2,1,1,2,1,223,1,1,1,1,1,1,223,2,3,3,1,3,2,223,1,2,1,1,1,1,223,3,2,2,2,3,2,10,BIHAR,Bhagalpur,1,1,223,224,1,1,1,1,1,1
209,209,10,Banka,225,1,2,2,1,1,1,1,1,2,2,1,1,2,2,224,224,225,1,1,1,1,1,1,224,1,1,1,1,1,1,224,1,1,1,1,1,2,224,2,2,1,3,3,2,224,2,1,2,2,3,2,10,BIHAR,Banka,1,1,224,225,1,1,1,1,1,1
210,210,10,Munger,226,1,1,2,1,1,1,1,1,2,2,1,1,1,2,225,225,226,2,3,3,3,2,1,225,3,3,1,1,3,1,225,1,3,2,1,1,2,225,3,3,3,3,3,1,225,3,3,3,3,3,2,10,BIHAR,Munger,1,1,225,226,3,3,1,1,3,1
